DIAGRAM 4


Engelska, över NP, N15574, 2016, Jokkmokk.
Engelska, över NP, N15574, 2016, Sorsele.
Engelska, över NP, N15574, 2016, Valdemarsvik.
Engelska, över NP, N15574, 2016, Åsele.

Engelska, över NP, N15574, 2017, Bjurholm.
Engelska, över NP, N15574, 2017, Jokkmokk.
Engelska, över NP, N15574, 2017, Ydre.
Engelska, över NP, N15574, 2017, Åsele.
Engelska, över NP, N15574, 2017, Övertorneå.

Engelska, över NP, N15574, 2018, Bjurholm.
Engelska, över NP, N15574, 2018, Dals-Ed.
Engelska, över NP, N15574, 2018, Danderyd.
Engelska, över NP, N15574, 2018, Lidingö.
Engelska, över NP, N15574, 2018, Malå.
Engelska, över NP, N15574, 2018, Munkedal.
Engelska, över NP, N15574, 2018, Mölndal.
Engelska, över NP, N15574, 2018, Skinnskatteberg.
Engelska, över NP, N15574, 2018, Sorsele.
Engelska, över NP, N15574, 2018, Tjörn.
Engelska, över NP, N15574, 2018, Åsele.
Engelska, över NP, N15574, 2018, Åtvidaberg.
Engelska, över NP, N15574, 2018, Älmhult.

Engelska, över NP, N15574, 2019, Bjurholm.
Engelska, över NP, N15574, 2019, Dorotea.
Engelska, över NP, N15574, 2019, Gnosjö.
Engelska, över NP, N15574, 2019, Hylte.
Engelska, över NP, N15574, 2019, Kil.
Engelska, över NP, N15574, 2019, Torsås.


Engelska, under NP, N15573, 2016, Ydre.
Engelska, under NP, N15573, 2016, Övertorneå.

Engelska, under NP, N15573, 2017, Bjurholm.
Engelska, under NP, N15573, 2017, Grästorp.
Engelska, under NP, N15573, 2017, Lessebo.
Engelska, under NP, N15573, 2017, Orsa.
Engelska, under NP, N15573, 2017, Rättvik.
Engelska, under NP, N15573, 2017, Ydre.

Engelska, under NP, N15573, 2018, Bjurholm.
Engelska, under NP, N15573, 2018, Dals-Ed.
Engelska, under NP, N15573, 2018, Danderyd.
Engelska, under NP, N15573, 2018, Lidingö.
Engelska, under NP, N15573, 2018, Malå.
Engelska, under NP, N15573, 2018, Mellerud.
Engelska, under NP, N15573, 2018, Munkedal.
Engelska, under NP, N15573, 2018, Mölndal.
Engelska, under NP, N15573, 2018, Mörbylånga.
Engelska, under NP, N15573, 2018, Nordanstig.
Engelska, under NP, N15573, 2018, Sorsele.
Engelska, under NP, N15573, 2018, Storfors.
Engelska, under NP, N15573, 2018, Tjörn.
Engelska, under NP, N15573, 2018, Ydre.
Engelska, under NP, N15573, 2018, Älmhult.
Engelska, under NP, N15573, 2018, Överkalix.
Engelska, under NP, N15573, 2018, Övertorneå.

Engelska, under NP, N15573, 2019, Arjeplog.
Engelska, under NP, N15573, 2019, Dorotea.
Engelska, under NP, N15573, 2019, Hylte.
Engelska, under NP, N15573, 2019, Högsby.
Engelska, under NP, N15573, 2019, Kil.
Engelska, under NP, N15573, 2019, Lessebo.
Engelska, under NP, N15573, 2019, Nordanstig.
Engelska, under NP, N15573, 2019, Torsås.




Matematik, över NP, N15572, 2018, Dorotea.
Matematik, över NP, N15572, 2018, Torsås.

Matematik, över NP, N15572, 2019, Dorotea.
Matematik, över NP, N15572, 2019, Torsås.


Matematik, under NP, N15571, 2016, Arjeplog.
Matematik, under NP, N15571, 2016, Bengtsfors.
Matematik, under NP, N15571, 2016, Bollebygd.
Matematik, under NP, N15571, 2016, Burlöv.
Matematik, under NP, N15571, 2016, Essunga.
Matematik, under NP, N15571, 2016, Färgelanda.
Matematik, under NP, N15571, 2016, Gnesta.
Matematik, under NP, N15571, 2016, Gnosjö.
Matematik, under NP, N15571, 2016, Grästorp.
Matematik, under NP, N15571, 2016, Gällivare.
Matematik, under NP, N15571, 2016, Hjo.
Matematik, under NP, N15571, 2016, Hofors.
Matematik, under NP, N15571, 2016, Höör.
Matematik, under NP, N15571, 2016, Lekeberg.
Matematik, under NP, N15571, 2016, Lessebo.
Matematik, under NP, N15571, 2016, Mellerud.
Matematik, under NP, N15571, 2016, Mullsjö.
Matematik, under NP, N15571, 2016, Norsjö.
Matematik, under NP, N15571, 2016, Ockelbo.
Matematik, under NP, N15571, 2016, Skinnskatteberg.
Matematik, under NP, N15571, 2016, Sorsele.
Matematik, under NP, N15571, 2016, Storuman.
Matematik, under NP, N15571, 2016, Surahammar.
Matematik, under NP, N15571, 2016, Tanum.
Matematik, under NP, N15571, 2016, Vindeln.
Matematik, under NP, N15571, 2016, Ydre.
Matematik, under NP, N15571, 2016, Åmål.
Matematik, under NP, N15571, 2016, Överkalix.
Matematik, under NP, N15571, 2016, Övertorneå.

Matematik, under NP, N15571, 2017, Ale.
Matematik, under NP, N15571, 2017, Alingsås.
Matematik, under NP, N15571, 2017, Aneby.
Matematik, under NP, N15571, 2017, Arboga.
Matematik, under NP, N15571, 2017, Arvidsjaur.
Matematik, under NP, N15571, 2017, Bengtsfors.
Matematik, under NP, N15571, 2017, Bjuv.
Matematik, under NP, N15571, 2017, Bollnäs.
Matematik, under NP, N15571, 2017, Borgholm.
Matematik, under NP, N15571, 2017, Bräcke.
Matematik, under NP, N15571, 2017, Burlöv.
Matematik, under NP, N15571, 2017, Dorotea.
Matematik, under NP, N15571, 2017, Ekerö.
Matematik, under NP, N15571, 2017, Emmaboda.
Matematik, under NP, N15571, 2017, Essunga.
Matematik, under NP, N15571, 2017, Falkenberg.
Matematik, under NP, N15571, 2017, Gagnef.
Matematik, under NP, N15571, 2017, Gnesta.
Matematik, under NP, N15571, 2017, Gnosjö.
Matematik, under NP, N15571, 2017, Grums.
Matematik, under NP, N15571, 2017, Grästorp.
Matematik, under NP, N15571, 2017, Gävle.
Matematik, under NP, N15571, 2017, Habo.
Matematik, under NP, N15571, 2017, Hallstahammar.
